"id";"year";"make";"model";"color";"price";"mpg_city";"mpg_hwy";"transmission";"engine";"drive_type";"prev_owners";"mileage";"vin";"status";"date_created";"style";"city";"state";"images"
101;1966;"Buick";"Skylark Gs Hardtop";"Green";25853.42;16;21;"Automatic";"V8 6.6L";"RWD";3;52340;"UGWQWAV76LGMVKBC8";1;"2023-08-21";"muscle car,coupe";"New Orleans";"LA";"{""model_imgs_key"": ""buick skylark gs hardtop""}"
102;1922;"Lincoln";"Model 117 Brunn Sedan";"Beige";31570.71;17;20;"Automatic";"Flat-4 2.0L";"AWD";3;35730;"NCR7I87A31W0UX8SI";1;"2024-02-10";"luxury,sedan";"New Orleans";"LA";"{""model_imgs_key"": ""lincoln model 117 brunn sedan""}"
103;1964;"Volkswagen";"Karmann Ghia Coupe";"Red";32510.63;14;21;"Automatic";"Inline-6 3.5L";"AWD";1;78588;"0V0VA8AQJ7Z3ZV1YM";1;"2023-09-30";"coupe";"Atlanta";"GA";"{""model_imgs_key"": ""volkswagen karmann ghia coupe""}"
104;1950;"Dodge";"Pickup";"Green";17482.11;12;17;"Automatic";"V8 3.5L";"FWD";3;87260;"244NMNL3XUX1GCOK0";1;"2023-09-25";"pickup";"New Orleans";"LA";"{""model_imgs_key"": ""dodge pickup""}"
105;1986;"Oldsmobile";"Cutlass Salon Hardtop";"Green";44326.43;16;19;"Manual";"Flat-6 3.0L";"AWD";3;79172;"KW12ZE8TAGDA0CWII";1;"2023-11-08";"coupe,luxury";"Denver";"CO";"{""model_imgs_key"": ""oldsmobile cutlass salon hardtop""}"
106;1979;"Dodge";"D150 Lil Red Express Pickup";"Gray";18736.89;17;18;"Automatic";"Flat-4 2.0L";"AWD";1;145523;"8DQVNJUZ6THW1ECCK";1;"2021-07-18";"pickup";"Los Angeles";"CA";"{""model_imgs_key"": ""dodge d150 lil red express pickup""}"
107;1975;"Mercedes-Benz";"300D Sedan";"Green";47851.99;12;18;"Manual";"Inline-4 1.6L";"AWD";1;37994;"1LEXWJMU3MI613U5Q";1;"2024-07-14";"sedan,luxury";"Chicago";"IL";"{""model_imgs_key"": ""mercedes-benz 300d sedan""}"
108;1972;"Buick";"Centurion Convertible";"Brown";38176.08;14;30;"Automatic";"V12 5.3L";"FWD";2;131745;"8BH7UQ8RQRBR7PDEH";1;"2025-03-22";"convertible,luxury";"Houston";"TX";"{""model_imgs_key"": ""buick centurion convertible""}"
109;1948;"Cadillac";"Series 62 Coupe";"Beige";24149.12;12;27;"Manual";"V12 5.3L";"AWD";3;96118;"D5Y6RN3OUTYB1ZVGJ";1;"2021-10-21";"luxury,coupe";"Denver";"CO";"{""model_imgs_key"": ""cadillac series 62 coupe""}"
110;1978;"Volkswagen";"Type 2 Kombi Bus";"Brown";38769.07;13;22;"Manual";"V8 5.3L";"FWD";2;52844;"MG0ZBV6Y9EMF9WLBW";1;"2024-07-15";"van";"Chicago";"IL";"{""model_imgs_key"": ""volkswagen type 2 kombi bus""}"
111;1948;"Cadillac";"Series 62 Coupe";"Brown";38264.04;10;25;"Automatic";"V12 5.3L";"FWD";3;63242;"YU19YWJHR4G5HU0C0";1;"2021-05-22";"luxury,coupe";"New Orleans";"LA";"{""model_imgs_key"": ""cadillac series 62 coupe""}"
112;1951;"Dodge";"Power Wagon";"Black";43656.86;18;20;"Automatic";"V8 6.0L";"RWD";1;66206;"6FCEF6QLGW4Y2TZX5";1;"2024-04-09";"SUV / 4x4,pickup";"New Orleans";"LA";"{""model_imgs_key"": ""dodge power wagon""}"
113;1970;"Lincoln";"Continental Mark Iii 2 Door Hardtop";"Beige";5271.97;17;21;"Automatic";"Inline-6 3.2L";"FWD";3;103084;"771ANYZXTZ81S01UI";1;"2021-11-30";"luxury,coupe";"San Diego";"CA";"{""model_imgs_key"": ""lincoln continental mark iii 2 door hardtop""}"
114;1951;"Dodge";"Power Wagon";"Blue";35158.58;12;17;"Manual";"V8 6.0L";"FWD";1;26840;"7FUWZ3I4R0N22T1Y6";1;"2023-01-17";"SUV / 4x4,pickup";"New Orleans";"LA";"{""model_imgs_key"": ""dodge power wagon""}"
115;1986;"Oldsmobile";"Cutlass Salon Hardtop";"White";35938.25;8;26;"Manual";"Flat-6 3.0L";"RWD";3;76578;"DO9N9LHFZK7S6AARC";1;"2025-02-08";"coupe,luxury";"Seattle";"WA";"{""model_imgs_key"": ""oldsmobile cutlass salon hardtop""}"
116;1968;"Pontiac";"Executive Hardtop";"White";31152.76;14;15;"Automatic";"V8 5.3L";"RWD";2;55555;"5Q625R229QLN23BP9";1;"2022-01-13";"coupe,luxury";"Chicago";"IL";"{""model_imgs_key"": ""pontiac executive hardtop""}"
117;1996;"Toyota";"Classic Sedan";"Beige";25928.62;15;18;"Automatic";"Inline-4 1.9L";"RWD";2;103061;"FB306SYGQ5GG9RBG1";1;"2024-12-13";"sedan";"Houston";"TX";"{""model_imgs_key"": ""toyota classic sedan""}"
118;1962;"Dodge";"Polara 500 Hardtop";"Brown";32011.31;10;15;"Manual";"Flat-6 3.6L";"RWD";2;30184;"JR8235WYP5Q4P9AGP";1;"2024-12-20";"coupe,sedan";"Chicago";"IL";"{""model_imgs_key"": ""dodge polara 500 hardtop""}"
119;1997;"BMW";"M3 4 Door Sedan";"Yellow";40941.24;10;24;"Manual";"Flat-6 2.2L";"FWD";1;22435;"BQ1PJFWMLXAHGZ3LS";1;"2021-10-15";"sedan,muscle car";"Chicago";"IL";"{""model_imgs_key"": ""bmw m3 4 door sedan""}"
120;1984;"Cadillac";"Fleetwood Brougham D Elegance";"Blue";25982.55;21;21;"Automatic";"Flat-6 2.0L";"RWD";2;133292;"8Y82PHQHMCKDK2173";1;"2024-07-23";"luxury,sedan";"Miami";"FL";"{""model_imgs_key"": ""cadillac fleetwood brougham d elegance""}"
121;1981;"Nissan";"280Zx";"Red";14936.69;9;25;"Automatic";"V8 4.5L";"FWD";3;23624;"RF1HWZP0STGDMSIM0";1;"2024-04-11";"coupe";"Savannah";"GA";"{""model_imgs_key"": ""nissan 280zx""}"
122;1984;"Dodge";"Rampage";"Yellow";33822.27;16;19;"Manual";"Inline-4 2.2L";"AWD";1;60315;"ZKPOG6KWVNKGPWMFX";1;"2024-07-19";"pickup";"Chicago";"IL";"{""model_imgs_key"": ""dodge rampage""}"
123;1995;"Jaguar";"Xjs V12 Convertible";"Yellow";19845.25;9;13;"Automatic";"V12 7.2L";"RWD";1;61089;"HONM4WZIADSKS2S5W";1;"2022-05-24";"convertible,luxury";"Denver";"CO";"{""model_imgs_key"": ""jaguar xjs v12 convertible""}"
124;1978;"Toyota";"Corolla Sedan";"Brown";14029.6;15;17;"Automatic";"V8 5.3L";"FWD";2;9533;"LB4KG9X39YHI3KC2V";1;"2022-04-05";"sedan";"Chicago";"IL";"{""model_imgs_key"": ""toyota corolla sedan""}"
125;1932;"Oldsmobile";"L32 4 Door Sedan";"Yellow";25491.8;12;18;"Manual";"V8 4.6L";"RWD";1;137369;"T0GD7KZ9J69W0RA0V";1;"2024-07-22";"sedan";"Phoenix";"AZ";"{""model_imgs_key"": ""oldsmobile l32 4 door sedan""}"
126;1969;"Jaguar";"Xke 2 2 Coupe";"Gray";16463.18;14;21;"Automatic";"Inline-6 3.5L";"RWD";2;41037;"FGU4Z9VB43YM15IVZ";1;"2025-02-05";"luxury,coupe";"Los Angeles";"CA";"{""model_imgs_key"": ""jaguar xke 2 2 coupe""}"
127;1980;"Porsche";"924 Turbo";"Blue";11042.47;17;19;"Automatic";"V8 3.5L";"AWD";2;96334;"ERLHSOC1GJ21QHT8A";1;"2023-01-03";"coupe";"New Orleans";"LA";"{""model_imgs_key"": ""porsche 924 turbo""}"
128;1968;"Pontiac";"Executive Hardtop";"Blue";40199.71;11;15;"Automatic";"V8 5.3L";"RWD";2;10722;"HZXO6JGQSYK2GALRW";1;"2023-12-22";"coupe,luxury";"Atlanta";"GA";"{""model_imgs_key"": ""pontiac executive hardtop""}"
129;1983;"Jeep";"Cj7";"Gray";11402.24;9;25;"Manual";"Inline-4 1.6L";"AWD";2;84130;"MKRR6FKCLWN3UJ85E";1;"2025-03-30";"SUV / 4x4";"Dallas";"TX";"{""model_imgs_key"": ""jeep cj7""}"
130;1994;"Nissan";"300Zx";"Yellow";19909.06;18;28;"Manual";"V8 3.5L";"FWD";1;45950;"DL2XE5BRZGGPIJKH6";1;"2021-07-15";"coupe";"Seattle";"WA";"{""model_imgs_key"": ""nissan 300zx""}"
131;1976;"Lincoln";"Continental Town Coupe";"Green";38877.71;19;26;"Manual";"V6 4.0L";"FWD";2;125846;"WIRFUPYTPA6X2CNN9";1;"2021-05-27";"luxury,coupe";"Chicago";"IL";"{""model_imgs_key"": ""lincoln continental town coupe""}"
132;1987;"Volkswagen";"Vanagon Gl Syncro Westfalia";"White";12641.25;13;17;"Automatic";"Inline-6 3.2L";"FWD";2;144248;"EC5QXN1SGDMK56LVT";1;"2024-04-17";"SUV / 4x4,van";"Seattle";"WA";"{""model_imgs_key"": ""volkswagen vanagon gl syncro westfalia""}"
133;1978;"Chevrolet";"Monza Station Wagon";"White";27981.1;10;19;"Manual";"V8 4.0L";"RWD";3;102209;"M83LY245L6WHX6GKN";1;"2021-07-09";"station wagon";"Richmond";"VA";"{""model_imgs_key"": ""chevrolet monza station wagon""}"
134;1970;"Pontiac";"Gto Hardtop";"White";17794.11;11;21;"Manual";"Flat-4 1.3L";"RWD";1;5509;"IE74DMS8ZANUCN6WO";1;"2024-02-14";"muscle car";"New Orleans";"LA";"{""model_imgs_key"": ""pontiac gto hardtop""}"
135;1952;"Mercedes-Benz";"220 Sedan";"Yellow";36351.36;12;17;"Manual";"Inline-4 3.0L";"FWD";1;15414;"7TRL368K8HJH41Q5C";1;"2023-06-13";"sedan,luxury";"Los Angeles";"CA";"{""model_imgs_key"": ""mercedes-benz 220 sedan""}"
136;1987;"Volkswagen";"Vanagon Gl Syncro Westfalia";"Blue";3000.0;21;23;"Automatic";"Inline-6 3.2L";"RWD";1;141014;"9SZE187QW80L9KZ0Z";1;"2023-08-26";"SUV / 4x4,van";"Los Angeles";"CA";"{""model_imgs_key"": ""volkswagen vanagon gl syncro westfalia""}"
137;1940;"Dodge";"Series Vc G502 Power Wagon Pickup";"White";46301.59;12;28;"Manual";"V6 2.5L";"FWD";2;33493;"PTVUSZMENAJJ3VTOS";1;"2024-01-13";"pickup,SUV / 4x4";"Nashville";"TN";"{""model_imgs_key"": ""dodge series vc g502 power wagon pickup""}"
138;1997;"BMW";"M3 4 Door Sedan";"Yellow";41153.82;14;28;"Automatic";"Flat-6 2.2L";"RWD";2;48213;"1WA20VWC645VG4UU5";1;"2023-05-04";"sedan,muscle car";"Phoenix";"AZ";"{""model_imgs_key"": ""bmw m3 4 door sedan""}"
139;1971;"Dodge";"Challenger R T";"Yellow";36166.85;20;23;"Manual";"V8 4.2L";"AWD";2;57057;"BE7LKQG8A2HUQS48Z";1;"2022-03-29";"muscle car,coupe";"Denver";"CO";"{""model_imgs_key"": ""dodge challenger r t""}"
140;1960;"Buick";"Electra 2 Door Hardtop";"Red";34577.49;14;19;"Manual";"V8 4.5L";"FWD";2;40502;"H6AK8UOOCZJMSRWTQ";1;"2023-04-19";"luxury,coupe";"New Orleans";"LA";"{""model_imgs_key"": ""buick electra 2 door hardtop""}"
141;1967;"Pontiac";"Firebird Convertible";"Red";35400.92;13;17;"Manual";"Inline-6 2.8L";"RWD";1;136756;"D0O7CJ6XC0996VU4L";1;"2022-04-26";"convertible,muscle car";"Indianapolis";"IN";"{""model_imgs_key"": ""pontiac firebird convertible""}"
142;1978;"Chevrolet";"Monza Station Wagon";"Brown";38983.17;9;20;"Automatic";"V8 4.0L";"AWD";1;84579;"YLIRK2R12PW7DL2MH";1;"2024-09-14";"station wagon";"Los Angeles";"CA";"{""model_imgs_key"": ""chevrolet monza station wagon""}"
143;1969;"Jaguar";"Xke 2 2 Coupe";"Gray";35595.96;19;27;"Manual";"Inline-6 3.5L";"RWD";2;126024;"HZFI3FN9WFFEN741G";1;"2024-02-16";"luxury,coupe";"Denver";"CO";"{""model_imgs_key"": ""jaguar xke 2 2 coupe""}"
144;1969;"Jaguar";"Xke 2 2 Coupe";"Brown";27015.24;15;30;"Manual";"Inline-6 3.5L";"AWD";1;69402;"9BSYH9WZ4V3CTQ93M";1;"2023-10-16";"luxury,coupe";"Seattle";"WA";"{""model_imgs_key"": ""jaguar xke 2 2 coupe""}"
145;1996;"Toyota";"Classic Sedan";"Black";25068.78;15;21;"Automatic";"Inline-4 1.9L";"FWD";1;133222;"H5SH3LPURXATG6PU6";1;"2023-09-02";"sedan";"New York";"NY";"{""model_imgs_key"": ""toyota classic sedan""}"
146;1948;"Willys";"Jeepster";"Beige";40325.4;20;22;"Automatic";"Rotary 1.1L";"RWD";1;6525;"M1TBK61XFK2PG8I75";0;"2024-06-02";"SUV / 4x4";"Phoenix";"AZ";"{""model_imgs_key"": ""willys jeepster""}"
147;1964;"Volkswagen";"Karmann Ghia Coupe";"Black";14503.42;13;21;"Manual";"Inline-6 3.5L";"RWD";2;145504;"3M1PCIM5NVHHXHTHE";1;"2022-04-06";"coupe";"Houston";"TX";"{""model_imgs_key"": ""volkswagen karmann ghia coupe""}"
148;1963;"Jeep";"Willys Station Wagon";"Gray";22139.64;13;26;"Automatic";"Flat-4 1.6L";"FWD";1;101513;"90Q88JFD8DJGIYYIW";1;"2023-03-20";"station wagon";"Houston";"TX";"{""model_imgs_key"": ""jeep willys station wagon""}"
149;1960;"Lincoln";"Mark V Convertible";"White";26661.37;15;20;"Manual";"V8 4.2L";"RWD";1;99601;"SJBEO7HEV3M48WKR4";1;"2025-01-25";"convertible,luxury";"New Orleans";"LA";"{""model_imgs_key"": ""lincoln mark v convertible""}"
150;1969;"Dodge";"Charger Hardtop";"Brown";25665.65;9;13;"Automatic";"V8 7.5L";"AWD";1;109447;"44OAUOMIRFKEQNNDQ";1;"2024-01-24";"muscle car,coupe";"Chicago";"IL";"{""model_imgs_key"": ""dodge charger hardtop""}"
151;1976;"Lincoln";"Continental Town Coupe";"Brown";51605.85;22;26;"Automatic";"V6 4.0L";"RWD";1;95746;"1PYOAAQTP4XQKY0RC";0;"2021-09-21";"luxury,coupe";"Chicago";"IL";"{""model_imgs_key"": ""lincoln continental town coupe""}"
152;1948;"Willys";"Jeepster";"Brown";9649.21;15;30;"Automatic";"Rotary 1.1L";"AWD";3;85418;"AQI5BS507Y1L5EHTQ";1;"2023-08-11";"SUV / 4x4";"Chicago";"IL";"{""model_imgs_key"": ""willys jeepster""}"
153;1953;"Buick";"Super 50 Series Riviera 4 Door Sedan";"Gray";32915.71;10;27;"Automatic";"V8 5.7L";"FWD";3;64662;"4WVQHF8FZHG7WY2ZV";1;"2021-10-06";"luxury,sedan";"Charlotte";"NC";"{""model_imgs_key"": ""buick super 50 series riviera 4 door sedan""}"
154;1963;"Jeep";"Willys Station Wagon";"White";41964.9;16;20;"Automatic";"Flat-4 1.6L";"RWD";2;17446;"RPV5TUWCSMBG27RC4";1;"2021-09-27";"station wagon";"Chicago";"IL";"{""model_imgs_key"": ""jeep willys station wagon""}"
155;1984;"Cadillac";"Fleetwood Brougham D Elegance";"Red";31775.76;17;29;"Manual";"Flat-6 2.0L";"FWD";1;139149;"0Z9Q0QTZ66Z9UZP42";1;"2024-07-29";"luxury,sedan";"Denver";"CO";"{""model_imgs_key"": ""cadillac fleetwood brougham d elegance""}"
156;1978;"Chevrolet";"Monza Station Wagon";"Beige";31103.42;9;24;"Automatic";"V8 4.0L";"AWD";3;19205;"AP06BU59BT3WDG1HD";1;"2021-04-24";"station wagon";"Los Angeles";"CA";"{""model_imgs_key"": ""chevrolet monza station wagon""}"
157;2003;"Toyota";"Tacoma Trd 4X4 Xtracab";"Black";29712.02;13;22;"Automatic";"V8 5.7L";"FWD";3;78845;"OFGO0FY0FALT9ZURL";1;"2024-02-20";"SUV / 4x4,pickup";"New York";"NY";"{""model_imgs_key"": ""toyota tacoma trd 4x4 xtracab""}"
158;1963;"Jeep";"Willys Station Wagon";"Green";32595.1;8;14;"Automatic";"Flat-4 1.6L";"AWD";2;140005;"4L06N3CF3L5FG29OT";1;"2022-10-18";"station wagon";"New Orleans";"LA";"{""model_imgs_key"": ""jeep willys station wagon""}"
159;1948;"Willys";"Jeepster";"Brown";32631.14;18;20;"Manual";"Rotary 1.1L";"FWD";1;94005;"VMHG0AYDEBEKOG4C9";1;"2023-04-01";"SUV / 4x4";"Denver";"CO";"{""model_imgs_key"": ""willys jeepster""}"
160;1955;"Pontiac";"Star Chief Convertible";"Beige";29147.91;21;25;"Automatic";"V8 4.5L";"RWD";3;61379;"7ZSSMO5CXNL0YB604";1;"2022-01-16";"convertible";"Atlanta";"GA";"{""model_imgs_key"": ""pontiac star chief convertible""}"
161;1972;"Ford";"Mustang Mach 1";"Red";16427.53;11;19;"Manual";"Flat-6 3.6L";"RWD";2;73910;"2IFM3IGGR4PTH133P";1;"2025-02-18";"muscle car,coupe";"New York";"NY";"{""model_imgs_key"": ""ford mustang mach 1""}"
162;1962;"Dodge";"Polara 500 Hardtop";"Black";11243.06;15;28;"Manual";"Flat-6 3.6L";"AWD";2;31162;"27SJEJ5BPV7FRS4KA";0;"2023-08-05";"coupe,sedan";"Los Angeles";"CA";"{""model_imgs_key"": ""dodge polara 500 hardtop""}"
163;1941;"Cadillac";"Series 63 Touring Sedan";"Green";22515.62;16;25;"Automatic";"V8 4.0L";"RWD";1;25675;"VMEYJHIY8AW89WN2H";1;"2023-01-04";"luxury,sedan";"Denver";"CO";"{""model_imgs_key"": ""cadillac series 63 touring sedan""}"
164;1987;"Volkswagen";"Vanagon Gl Syncro Westfalia";"White";22791.3;12;24;"Automatic";"Inline-6 3.2L";"RWD";3;92639;"S8F46S6QV3ARM97GX";1;"2023-08-18";"SUV / 4x4,van";"Miami";"FL";"{""model_imgs_key"": ""volkswagen vanagon gl syncro westfalia""}"
165;1969;"Volkswagen";"Porsche 959 Tribute Roadster";"Red";20982.46;18;20;"Manual";"V8 6.0L";"FWD";1;149580;"3JGCD4RJCV2XL7IDY";1;"2023-08-21";"convertible";"Louisville";"KY";"{""model_imgs_key"": ""volkswagen porsche 959 tribute roadster""}"
166;1970;"Lincoln";"Continental Mark Iii 2 Door Hardtop";"Brown";38421.61;10;23;"Automatic";"Inline-6 3.2L";"AWD";3;23453;"ENT7GG14MYSQTC24O";1;"2023-06-29";"luxury,coupe";"Los Angeles";"CA";"{""model_imgs_key"": ""lincoln continental mark iii 2 door hardtop""}"
167;1967;"Pontiac";"Firebird Convertible";"Blue";13674.63;17;25;"Manual";"Inline-6 2.8L";"AWD";3;43360;"1VC82E3VWPQ9SKV15";1;"2023-06-06";"convertible,muscle car";"Atlanta";"GA";"{""model_imgs_key"": ""pontiac firebird convertible""}"
168;1960;"Buick";"Electra 2 Door Hardtop";"Green";27412.26;15;18;"Manual";"V8 4.5L";"AWD";2;29597;"OW4CQQKOK9FUSKZE6";1;"2022-03-10";"luxury,coupe";"Chicago";"IL";"{""model_imgs_key"": ""buick electra 2 door hardtop""}"
169;1955;"Pontiac";"Star Chief Convertible";"Gray";27521.99;21;22;"Automatic";"V8 4.5L";"FWD";3;82669;"8QO0IFFLUHHF0QBRM";1;"2023-03-19";"convertible";"Seattle";"WA";"{""model_imgs_key"": ""pontiac star chief convertible""}"
170;1984;"Cadillac";"Fleetwood Brougham D Elegance";"Red";25233.69;13;20;"Manual";"Flat-6 2.0L";"FWD";2;66544;"NEH0FURA9GDDUS3HW";1;"2024-02-28";"luxury,sedan";"Phoenix";"AZ";"{""model_imgs_key"": ""cadillac fleetwood brougham d elegance""}"
171;1969;"Jaguar";"Xke Roadster";"Black";22013.17;19;21;"Automatic";"V12 5.0L";"AWD";1;38828;"L77C9I8NQUXIMCCW6";1;"2024-06-20";"convertible,luxury";"Seattle";"WA";"{""model_imgs_key"": ""jaguar xke roadster""}"
172;1970;"Mercedes-Benz";"280Se Sedan";"White";8391.37;14;25;"Manual";"V6 4.0L";"RWD";1;133446;"D6ZTAWN8GCHB3ZQFP";1;"2024-05-26";"sedan,luxury";"Chicago";"IL";"{""model_imgs_key"": ""mercedes-benz 280se sedan""}"
173;1974;"Porsche";"914";"White";21716.46;8;13;"Manual";"V8 5.5L";"AWD";3;49036;"14VTSB1NS5RBPUTRG";1;"2022-02-26";"coupe";"Charlotte";"NC";"{""model_imgs_key"": ""porsche 914""}"
174;1997;"BMW";"M3 4 Door Sedan";"White";20665.07;9;19;"Manual";"Flat-6 2.2L";"FWD";3;46521;"K7H0TPD09JFN68H6C";1;"2024-12-06";"sedan,muscle car";"Denver";"CO";"{""model_imgs_key"": ""bmw m3 4 door sedan""}"
175;1971;"Dodge";"Challenger R T";"Brown";12360.74;18;25;"Automatic";"V8 4.2L";"FWD";3;103145;"Z7P5130M8F0LWF37K";1;"2022-12-25";"muscle car,coupe";"Chicago";"IL";"{""model_imgs_key"": ""dodge challenger r t""}"
176;1957;"Chevrolet";"210 2 Door Sedan";"White";18486.63;18;21;"Manual";"V6 3.0L";"RWD";3;70136;"N4D51OY8O9A03DR6U";1;"2023-09-28";"sedan";"Denver";"CO";"{""model_imgs_key"": ""chevrolet 210 2 door sedan""}"
177;1996;"Toyota";"Classic Sedan";"Green";28738.95;21;23;"Automatic";"Inline-4 1.9L";"FWD";2;73293;"JHVZRVINCGEZ5G5AX";1;"2024-12-22";"sedan";"Indianapolis";"IN";"{""model_imgs_key"": ""toyota classic sedan""}"
178;1948;"Cadillac";"Series 62 Coupe";"Red";41382.66;22;29;"Automatic";"V12 5.3L";"FWD";3;111461;"LZALF9L71I8RV54R4";1;"2022-10-20";"luxury,coupe";"Los Angeles";"CA";"{""model_imgs_key"": ""cadillac series 62 coupe""}"
179;1953;"Buick";"Super 50 Series Riviera 4 Door Sedan";"White";26904.57;9;28;"Manual";"V8 5.7L";"AWD";3;123504;"HVFKN3GVMJ3MU9ASR";1;"2021-11-30";"luxury,sedan";"Chicago";"IL";"{""model_imgs_key"": ""buick super 50 series riviera 4 door sedan""}"
180;1992;"Mazda";"Miata Mx 5";"Blue";6163.97;20;21;"Manual";"Flat-4 1.6L";"FWD";3;104719;"AUMUHBAJ0G6NJL3ZR";1;"2024-08-28";"convertible";"Miami";"FL";"{""model_imgs_key"": ""mazda miata mx 5""}"
181;1964;"Volkswagen";"Karmann Ghia Coupe";"Red";3000.0;14;18;"Automatic";"Inline-6 3.5L";"RWD";3;147073;"87NTSGC8RXXZVOSET";0;"2021-06-28";"coupe";"Denver";"CO";"{""model_imgs_key"": ""volkswagen karmann ghia coupe""}"
182;1954;"Lincoln";"Cosmopolitan Sedan";"Beige";39102.06;8;21;"Manual";"V6 3.0L";"AWD";2;11054;"ULAQKVY9JRZKD83VR";1;"2022-04-06";"luxury,sedan";"Atlanta";"GA";"{""model_imgs_key"": ""lincoln cosmopolitan sedan""}"
183;1960;"Lincoln";"Mark V Convertible";"Gray";38120.96;13;28;"Manual";"V8 4.2L";"FWD";2;41545;"72SXP9IQE6L0CCB45";1;"2023-09-23";"convertible,luxury";"Denver";"CO";"{""model_imgs_key"": ""lincoln mark v convertible""}"
184;1957;"Mercedes-Benz";"180D Sedan";"Red";32442.81;14;29;"Automatic";"V6 4.2L";"FWD";2;15900;"4O258J79DQX16DX4X";1;"2025-03-04";"sedan,luxury";"Chicago";"IL";"{""model_imgs_key"": ""mercedes-benz 180d sedan""}"
185;1960;"Mercedes-Benz";"190Sl Roadster";"Yellow";45299.55;13;19;"Manual";"V6 4.2L";"AWD";3;17530;"HXVHXLNIYH9F9HT5K";0;"2024-04-16";"convertible,luxury";"Seattle";"WA";"{""model_imgs_key"": ""mercedes-benz 190sl roadster""}"
186;1982;"Pontiac";"Firebird Trans Am Tribute";"Green";15867.75;10;29;"Automatic";"Inline-4 1.6L";"RWD";1;28413;"HDZZDBS8OXG33GVFF";1;"2023-09-02";"muscle car";"Houston";"TX";"{""model_imgs_key"": ""pontiac firebird trans am tribute""}"
187;1957;"Mercedes-Benz";"180D Sedan";"White";27206.46;15;29;"Automatic";"V6 4.2L";"RWD";3;99406;"IKDW2VCWN4SZ4WCO6";1;"2021-04-03";"sedan,luxury";"New Orleans";"LA";"{""model_imgs_key"": ""mercedes-benz 180d sedan""}"
188;1948;"Cadillac";"Series 62 Coupe";"Red";46711.66;18;18;"Automatic";"V12 5.3L";"RWD";2;99545;"AA6KLZQDRQH2G87XF";1;"2024-10-21";"luxury,coupe";"New Orleans";"LA";"{""model_imgs_key"": ""cadillac series 62 coupe""}"
189;1978;"Volkswagen";"Type 2 Kombi Bus";"Brown";12271.74;20;28;"Automatic";"V8 5.3L";"FWD";1;70776;"L7ZK1GH84XJ5G9IQQ";1;"2021-06-11";"van";"Seattle";"WA";"{""model_imgs_key"": ""volkswagen type 2 kombi bus""}"
190;1948;"Pontiac";"Streamliner 8 Silver Streak Woody Wagon";"Black";24412.84;22;25;"Manual";"Inline-4 2.2L";"FWD";2;34292;"J1WH2FGUGKHM3NAM2";1;"2024-02-22";"station wagon";"Atlanta";"GA";"{""model_imgs_key"": ""pontiac streamliner 8 silver streak woody wagon""}"
191;1970;"Cadillac";"Coupe Deville";"Yellow";3000.0;13;14;"Manual";"Inline-6 3.5L";"FWD";2;79965;"74ILG7EW9QX5ZAAFY";1;"2024-12-08";"luxury,coupe";"Denver";"CO";"{""model_imgs_key"": ""cadillac coupe deville""}"
192;1967;"Pontiac";"Firebird Convertible";"Green";26900.42;13;21;"Automatic";"Inline-6 2.8L";"RWD";2;13626;"3UYJS5TGDMRGNSIRR";1;"2023-12-02";"convertible,muscle car";"Los Angeles";"CA";"{""model_imgs_key"": ""pontiac firebird convertible""}"
193;1969;"Volkswagen";"Porsche 959 Tribute Roadster";"Beige";38423.76;9;16;"Manual";"V8 6.0L";"FWD";3;87556;"L3KLRC29AKYCSAXT1";1;"2021-11-04";"convertible";"Denver";"CO";"{""model_imgs_key"": ""volkswagen porsche 959 tribute roadster""}"
194;1972;"Buick";"Riviera Hardtop";"Gray";44622.19;15;19;"Manual";"V12 7.2L";"AWD";1;40134;"QCGT70BJIK26AG8NH";1;"2023-09-09";"luxury,coupe";"Los Angeles";"CA";"{""model_imgs_key"": ""buick riviera hardtop""}"
195;1966;"Ford";"Mustang Gt Hardtop";"Yellow";14326.5;13;29;"Automatic";"V8 4.0L";"RWD";3;77217;"WJ0KFXPMPHAG5U03G";1;"2023-07-22";"muscle car,coupe";"Chicago";"IL";"{""model_imgs_key"": ""ford mustang gt hardtop""}"
196;1948;"Cadillac";"Series 62 Coupe";"Red";3000.0;20;23;"Automatic";"V12 5.3L";"AWD";1;69447;"QXVGD6OJN7M3F3SNU";1;"2022-07-05";"luxury,coupe";"Seattle";"WA";"{""model_imgs_key"": ""cadillac series 62 coupe""}"
197;1974;"Chevrolet";"Camaro Type Lt Z28";"Black";27865.76;19;25;"Automatic";"V8 7.0L";"FWD";1;81302;"Z90FR2D83XGGCIXQI";1;"2024-06-20";"muscle car,coupe";"Atlanta";"GA";"{""model_imgs_key"": ""chevrolet camaro type lt z28""}"
198;1953;"Buick";"Super 50 Series Riviera 4 Door Sedan";"Beige";6255.44;10;12;"Manual";"V8 5.7L";"FWD";1;27541;"P2LAHRMB4ZZ8YDV8C";1;"2021-05-21";"luxury,sedan";"New Orleans";"LA";"{""model_imgs_key"": ""buick super 50 series riviera 4 door sedan""}"
199;1955;"Pontiac";"Star Chief Convertible";"Brown";55758.98;9;16;"Automatic";"V8 4.5L";"FWD";3;102126;"7VM7IW9RYNXIP3MRM";1;"2022-11-19";"convertible";"Miami";"FL";"{""model_imgs_key"": ""pontiac star chief convertible""}"
