year,make,model,color,price,mpg_city,mpg_hwy,transmission,engine,drive_type,prev_owners,mileage,vin,status,date_created,city,state,style
1969,Jaguar,Xke 2 2 Coupe,Gray,35595.96,19,27,Manual,Inline-6 3.5L,RWD,2,126024,HZFI3FN9WFFEN741G,1,2024-02-16,Denver,CO,"luxury,coupe"
1969,Jaguar,Xke 2 2 Coupe,Brown,27015.24,15,30,Manual,Inline-6 3.5L,AWD,1,69402,9BSYH9WZ4V3CTQ93M,1,2023-10-16,Seattle,WA,"luxury,coupe"
1996,Toyota,Classic Sedan,Black,25068.78,15,21,Automatic,Inline-4 1.9L,FWD,1,133222,H5SH3LPURXATG6PU6,1,2023-09-02,New York,NY,sedan
1948,Willys,Jeepster,Beige,40325.4,20,22,Automatic,Rotary 1.1L,RWD,1,6525,M1TBK61XFK2PG8I75,0,2024-06-02,Phoenix,AZ,SUV / 4x4
1964,Volkswagen,Karmann Ghia Coupe,Black,14503.42,13,21,Manual,Inline-6 3.5L,RWD,2,145504,3M1PCIM5NVHHXHTHE,1,2022-04-06,Houston,TX,coupe
1963,Jeep,Willys Station Wagon,Gray,22139.64,13,26,Automatic,Flat-4 1.6L,FWD,1,101513,90Q88JFD8DJGIYYIW,1,2023-03-20,Houston,TX,station wagon
1960,Lincoln,Mark V Convertible,White,26661.37,15,20,Manual,V8 4.2L,RWD,1,99601,SJBEO7HEV3M48WKR4,1,2025-01-25,New Orleans,LA,"convertible,luxury"
1969,Dodge,Charger Hardtop,Brown,25665.65,9,13,Automatic,V8 7.5L,AWD,1,109447,44OAUOMIRFKEQNNDQ,1,2024-01-24,Chicago,IL,"muscle car,coupe"
1976,Lincoln,Continental Town Coupe,Brown,51605.85,22,26,Automatic,V6 4.0L,RWD,1,95746,1PYOAAQTP4XQKY0RC,0,2021-09-21,Chicago,IL,"luxury,coupe"
1948,Willys,Jeepster,Brown,9649.21,15,30,Automatic,Rotary 1.1L,AWD,3,85418,AQI5BS507Y1L5EHTQ,1,2023-08-11,Chicago,IL,SUV / 4x4
1953,Buick,Super 50 Series Riviera 4 Door Sedan,Gray,32915.71,10,27,Automatic,V8 5.7L,FWD,3,64662,4WVQHF8FZHG7WY2ZV,1,2021-10-06,Charlotte,NC,"luxury,sedan"
1963,Jeep,Willys Station Wagon,White,41964.9,16,20,Automatic,Flat-4 1.6L,RWD,2,17446,RPV5TUWCSMBG27RC4,1,2021-09-27,Chicago,IL,station wagon
1984,Cadillac,Fleetwood Brougham D Elegance,Red,31775.76,17,29,Manual,Flat-6 2.0L,FWD,1,139149,0Z9Q0QTZ66Z9UZP42,1,2024-07-29,Denver,CO,"luxury,sedan"
1978,Chevrolet,Monza Station Wagon,Beige,31103.42,9,24,Automatic,V8 4.0L,AWD,3,19205,AP06BU59BT3WDG1HD,1,2021-04-24,Los Angeles,CA,station wagon
2003,Toyota,Tacoma Trd 4X4 Xtracab,Black,29712.02,13,22,Automatic,V8 5.7L,FWD,3,78845,OFGO0FY0FALT9ZURL,1,2024-02-20,New York,NY,"SUV / 4x4,pickup"
1963,Jeep,Willys Station Wagon,Green,32595.1,8,14,Automatic,Flat-4 1.6L,AWD,2,140005,4L06N3CF3L5FG29OT,1,2022-10-18,New Orleans,LA,station wagon
1948,Willys,Jeepster,Brown,32631.14,18,20,Manual,Rotary 1.1L,FWD,1,94005,VMHG0AYDEBEKOG4C9,1,2023-04-01,Denver,CO,SUV / 4x4
1955,Pontiac,Star Chief Convertible,Beige,29147.91,21,25,Automatic,V8 4.5L,RWD,3,61379,7ZSSMO5CXNL0YB604,1,2022-01-16,Atlanta,GA,convertible
1972,Ford,Mustang Mach 1,Red,16427.53,11,19,Manual,Flat-6 3.6L,RWD,2,73910,2IFM3IGGR4PTH133P,1,2025-02-18,New York,NY,"muscle car,coupe"
1962,Dodge,Polara 500 Hardtop,Black,11243.06,15,28,Manual,Flat-6 3.6L,AWD,2,31162,27SJEJ5BPV7FRS4KA,0,2023-08-05,Los Angeles,CA,"coupe,sedan"
1941,Cadillac,Series 63 Touring Sedan,Green,22515.62,16,25,Automatic,V8 4.0L,RWD,1,25675,VMEYJHIY8AW89WN2H,1,2023-01-04,Denver,CO,"luxury,sedan"
1987,Volkswagen,Vanagon Gl Syncro Westfalia,White,22791.3,12,24,Automatic,Inline-6 3.2L,RWD,3,92639,S8F46S6QV3ARM97GX,1,2023-08-18,Miami,FL,"SUV / 4x4,van"
1969,Volkswagen,Porsche 959 Tribute Roadster,Red,20982.46,18,20,Manual,V8 6.0L,FWD,1,149580,3JGCD4RJCV2XL7IDY,1,2023-08-21,Louisville,KY,convertible
1970,Lincoln,Continental Mark Iii 2 Door Hardtop,Brown,38421.61,10,23,Automatic,Inline-6 3.2L,AWD,3,23453,ENT7GG14MYSQTC24O,1,2023-06-29,Los Angeles,CA,"luxury,coupe"
1967,Pontiac,Firebird Convertible,Blue,13674.63,17,25,Manual,Inline-6 2.8L,AWD,3,43360,1VC82E3VWPQ9SKV15,1,2023-06-06,Atlanta,GA,"convertible,muscle car"
1960,Buick,Electra 2 Door Hardtop,Green,27412.26,15,18,Manual,V8 4.5L,AWD,2,29597,OW4CQQKOK9FUSKZE6,1,2022-03-10,Chicago,IL,"luxury,coupe"
1955,Pontiac,Star Chief Convertible,Gray,27521.99,21,22,Automatic,V8 4.5L,FWD,3,82669,8QO0IFFLUHHF0QBRM,1,2023-03-19,Seattle,WA,convertible
1984,Cadillac,Fleetwood Brougham D Elegance,Red,25233.69,13,20,Manual,Flat-6 2.0L,FWD,2,66544,NEH0FURA9GDDUS3HW,1,2024-02-28,Phoenix,AZ,"luxury,sedan"
1969,Jaguar,Xke Roadster,Black,22013.17,19,21,Automatic,V12 5.0L,AWD,1,38828,L77C9I8NQUXIMCCW6,1,2024-06-20,Seattle,WA,"convertible,luxury"
1970,Mercedes-Benz,Benz 280Se Sedan,White,8391.37,14,25,Manual,V6 4.0L,RWD,1,133446,D6ZTAWN8GCHB3ZQFP,1,2024-05-26,Chicago,IL,"sedan,luxury"
1974,Porsche,914,White,21716.46,8,13,Manual,V8 5.5L,AWD,3,49036,14VTSB1NS5RBPUTRG,1,2022-02-26,Charlotte,NC,coupe
1997,BMW,M3 4 Door Sedan,White,20665.07,9,19,Manual,Flat-6 2.2L,FWD,3,46521,K7H0TPD09JFN68H6C,1,2024-12-06,Denver,CO,"sedan,muscle car"
1971,Dodge,Challenger R T,Brown,12360.74,18,25,Automatic,V8 4.2L,FWD,3,103145,Z7P5130M8F0LWF37K,1,2022-12-25,Chicago,IL,"muscle car,coupe"
1957,Chevrolet,210 2 Door Sedan,White,18486.63,18,21,Manual,V6 3.0L,RWD,3,70136,N4D51OY8O9A03DR6U,1,2023-09-28,Denver,CO,sedan
1996,Toyota,Classic Sedan,Green,28738.95,21,23,Automatic,Inline-4 1.9L,FWD,2,73293,JHVZRVINCGEZ5G5AX,1,2024-12-22,Indianapolis,IN,sedan
1948,Cadillac,Series 62 Coupe,Red,41382.66,22,29,Automatic,V12 5.3L,FWD,3,111461,LZALF9L71I8RV54R4,1,2022-10-20,Los Angeles,CA,"luxury,coupe"
1953,Buick,Super 50 Series Riviera 4 Door Sedan,White,26904.57,9,28,Manual,V8 5.7L,AWD,3,123504,HVFKN3GVMJ3MU9ASR,1,2021-11-30,Chicago,IL,"luxury,sedan"
1992,Mazda,Miata Mx 5,Blue,6163.97,20,21,Manual,Flat-4 1.6L,FWD,3,104719,AUMUHBAJ0G6NJL3ZR,1,2024-08-28,Miami,FL,convertible
1964,Volkswagen,Karmann Ghia Coupe,Red,3000,14,18,Automatic,Inline-6 3.5L,RWD,3,147073,87NTSGC8RXXZVOSET,0,2021-06-28,Denver,CO,coupe
1954,Lincoln,Cosmopolitan Sedan,Beige,39102.06,8,21,Manual,V6 3.0L,AWD,2,11054,ULAQKVY9JRZKD83VR,1,2022-04-06,Atlanta,GA,"luxury,sedan"
1960,Lincoln,Mark V Convertible,Gray,38120.96,13,28,Manual,V8 4.2L,FWD,2,41545,72SXP9IQE6L0CCB45,1,2023-09-23,Denver,CO,"convertible,luxury"
1957,Mercedes-Benz,Benz 180D Sedan,Red,32442.81,14,29,Automatic,V6 4.2L,FWD,2,15900,4O258J79DQX16DX4X,1,2025-03-04,Chicago,IL,"sedan,luxury"
1960,Mercedes-Benz,Benz 190Sl Roadster,Yellow,45299.55,13,19,Manual,V6 4.2L,AWD,3,17530,HXVHXLNIYH9F9HT5K,0,2024-04-16,Seattle,WA,"convertible,luxury"
1982,Pontiac,Firebird Trans Am Tribute,Green,15867.75,10,29,Automatic,Inline-4 1.6L,RWD,1,28413,HDZZDBS8OXG33GVFF,1,2023-09-02,Houston,TX,muscle car
1957,Mercedes-Benz,Benz 180D Sedan,White,27206.46,15,29,Automatic,V6 4.2L,RWD,3,99406,IKDW2VCWN4SZ4WCO6,1,2021-04-03,New Orleans,LA,"sedan,luxury"
1948,Cadillac,Series 62 Coupe,Red,46711.66,18,18,Automatic,V12 5.3L,RWD,2,99545,AA6KLZQDRQH2G87XF,1,2024-10-21,New Orleans,LA,"luxury,coupe"
1978,Volkswagen,Type 2 Kombi Bus,Brown,12271.74,20,28,Automatic,V8 5.3L,FWD,1,70776,L7ZK1GH84XJ5G9IQQ,1,2021-06-11,Seattle,WA,van
1948,Pontiac,Streamliner 8 Silver Streak Woody Wagon,Black,24412.84,22,25,Manual,Inline-4 2.2L,FWD,2,34292,J1WH2FGUGKHM3NAM2,1,2024-02-22,Atlanta,GA,station wagon
1970,Cadillac,Coupe Deville,Yellow,3000,13,14,Manual,Inline-6 3.5L,FWD,2,79965,74ILG7EW9QX5ZAAFY,1,2024-12-08,Denver,CO,"luxury,coupe"
1967,Pontiac,Firebird Convertible,Green,26900.42,13,21,Automatic,Inline-6 2.8L,RWD,2,13626,3UYJS5TGDMRGNSIRR,1,2023-12-02,Los Angeles,CA,"convertible,muscle car"
1969,Volkswagen,Porsche 959 Tribute Roadster,Beige,38423.76,9,16,Manual,V8 6.0L,FWD,3,87556,L3KLRC29AKYCSAXT1,1,2021-11-04,Denver,CO,convertible
1972,Buick,Riviera Hardtop,Gray,44622.19,15,19,Manual,V12 7.2L,AWD,1,40134,QCGT70BJIK26AG8NH,1,2023-09-09,Los Angeles,CA,"luxury,coupe"
1966,Ford,Mustang Gt Hardtop,Yellow,14326.5,13,29,Automatic,V8 4.0L,RWD,3,77217,WJ0KFXPMPHAG5U03G,1,2023-07-22,Chicago,IL,"muscle car,coupe"
1948,Cadillac,Series 62 Coupe,Red,3000,20,23,Automatic,V12 5.3L,AWD,1,69447,QXVGD6OJN7M3F3SNU,1,2022-07-05,Seattle,WA,"luxury,coupe"
1974,Chevrolet,Camaro Type Lt Z28,Black,27865.76,19,25,Automatic,V8 7.0L,FWD,1,81302,Z90FR2D83XGGCIXQI,1,2024-06-20,Atlanta,GA,"muscle car,coupe"
1953,Buick,Super 50 Series Riviera 4 Door Sedan,Beige,6255.44,10,12,Manual,V8 5.7L,FWD,1,27541,P2LAHRMB4ZZ8YDV8C,1,2021-05-21,New Orleans,LA,"luxury,sedan"
1955,Pontiac,Star Chief Convertible,Brown,55758.98,9,16,Automatic,V8 4.5L,FWD,3,102126,7VM7IW9RYNXIP3MRM,1,2022-11-19,Miami,FL,convertible
2004,Dodge,Ram Srt 10 Pickup,White,53703.07,14,28,Manual,Inline-6 3.5L,AWD,1,129646,IHZAB8NSW0CMCNG1X,1,2021-04-27,Seattle,WA,pickup
1957,Chevrolet,Corvette Convertible,White,6719.53,22,22,Manual,Flat-6 2.2L,AWD,1,88234,X3GV9AV95W1JH7025,1,2023-02-23,Louisville,KY,"convertible,muscle car"
1986,Oldsmobile,Cutlass Salon Hardtop,Green,17969.24,18,22,Automatic,Flat-6 3.0L,FWD,1,38543,EEN9PG2LJMUB2JS9W,1,2021-05-23,Houston,TX,"coupe,luxury"
1972,Buick,Riviera Hardtop,White,3000,13,24,Automatic,V12 7.2L,RWD,1,87881,W0Z9QS1ZF7QXNKUA2,1,2024-09-22,Chicago,IL,"luxury,coupe"
1969,Jaguar,Xke Roadster,Black,40554.5,8,28,Manual,V12 5.0L,RWD,1,121718,2Z1QI1EHNLQJAZ9C6,1,2022-09-07,Chicago,IL,"convertible,luxury"
1997,BMW,M3 4 Door Sedan,Gray,56170.2,13,18,Manual,Flat-6 2.2L,AWD,1,58373,LPVE55G6UU88INXS7,1,2022-04-13,Dallas,TX,"sedan,muscle car"
1971,Volkswagen,Sand Rover T Pickup Dune Buggy,Blue,13335.76,16,20,Automatic,V12 5.0L,FWD,3,36123,SUNDSQ5GQJ4N02VFH,1,2023-02-23,Seattle,WA,pickup
1951,Lincoln,Lido Hardtop,Gray,23827.35,20,22,Manual,V6 3.8L,RWD,2,26264,941O811IJHP21OUYX,1,2023-12-29,Atlanta,GA,"luxury,coupe"
1986,Oldsmobile,Cutlass Salon Hardtop,Blue,27460.38,8,20,Manual,Flat-6 3.0L,FWD,3,75366,CHQCCNPMHO864HSGJ,0,2025-04-02,Los Angeles,CA,"coupe,luxury"
1940,Dodge,Vc Series 1 2 Ton Panel Truck,Green,15848.8,10,17,Manual,Inline-4 2.5L,RWD,1,64086,2HP9CFHRIA3JUK8JR,1,2021-12-03,Tampa,FL,truck
1982,Pontiac,Firebird Trans Am Tribute,Gray,44850.95,10,13,Manual,Inline-4 1.6L,AWD,1,117669,3GUX8Q136L17X0XWS,0,2024-02-06,Seattle,WA,muscle car
1950,Dodge,Pickup,Brown,28049.33,18,19,Automatic,V8 3.5L,FWD,2,139831,CE57YEG1DBC0O960L,1,2023-09-25,Miami,FL,pickup
1970,Lincoln,Continental Mark Iii 2 Door Hardtop,Green,10799.21,12,20,Manual,Inline-6 3.2L,RWD,1,18236,P7KG1OZTWJXYETZO9,1,2023-05-31,Seattle,WA,"luxury,coupe"
1963,Jeep,Willys Station Wagon,Red,61141.44,8,20,Automatic,Flat-4 1.6L,FWD,3,126887,B06BW037PM6KFEYDY,1,2023-02-15,Nashville,TN,station wagon
1968,Pontiac,Executive Hardtop,Green,52000.38,9,25,Manual,V8 5.3L,AWD,2,138980,5BNX7PQQQ3XSXSGRD,1,2022-07-22,Atlanta,GA,"coupe,luxury"
1983,Jeep,Cj7,Green,26268.43,16,16,Automatic,Inline-4 1.6L,RWD,1,84952,YFMSRRAL4V8Z5W4O1,1,2021-06-08,Atlanta,GA,SUV / 4x4
1975,Buick,Electra 225 Limited 2 Door Hardtop,Red,30954.05,8,22,Automatic,Flat-6 2.2L,RWD,3,131172,G7HO7C32BENVKMWOI,1,2025-02-23,Seattle,WA,"luxury,coupe"
1967,Ford,Thunderbird Landau Hardtop,Green,25350.71,18,21,Automatic,Flat-6 2.7L,AWD,2,43842,DP5HUGRKSFZ3GF0QB,1,2023-06-02,Louisville,KY,"luxury,coupe"
1994,Nissan,300Zx,Blue,16575.62,16,19,Automatic,V8 3.5L,RWD,2,63726,LRKX56H8ZR7NF8RV1,1,2024-11-25,Miami,FL,coupe
1972,Buick,Centurion Convertible,Green,16057.81,19,23,Automatic,V12 5.3L,RWD,2,84785,U8RI3HK0UOSQNZTKD,1,2023-03-07,Denver,CO,"convertible,luxury"
1940,Dodge,Vc Series 1 2 Ton Panel Truck,Beige,25859.98,21,30,Automatic,Inline-4 2.5L,RWD,3,95714,AD8RX75CRB63GC4I1,1,2024-04-15,Los Angeles,CA,truck
1969,Volkswagen,Porsche 959 Tribute Roadster,Blue,25239.22,13,21,Manual,V8 6.0L,AWD,3,130144,G0MS311U2BZMTNY6A,1,2024-03-31,Miami,FL,convertible
1957,Oldsmobile,Super 88 Convertible,White,24114.33,14,15,Manual,Rotary 1.1L,AWD,1,114770,JLNRU4V2UB7FDEPVA,1,2021-10-11,Miami,FL,convertible
1986,Oldsmobile,Cutlass Salon Hardtop,Red,30031.86,22,29,Manual,Flat-6 3.0L,FWD,3,42643,4SZC8P37RQYRQ2N6N,1,2021-06-30,Seattle,WA,"coupe,luxury"
1957,Chevrolet,210 2 Door Sedan,Black,25754.38,19,30,Manual,V6 3.0L,RWD,3,125663,DNS346K6ICS9OUE30,1,2024-05-29,Miami,FL,sedan
1964,Dodge,Dart 270 2 Door Hardtop,Black,49598.99,21,26,Manual,V6 2.5L,RWD,1,31688,K2TXYPSO5C9YV9U1H,0,2023-11-03,New York,NY,"sedan,coupe"
1932,Oldsmobile,L32 4 Door Sedan,Gray,9595.82,10,17,Manual,V8 4.6L,AWD,3,52043,YQEZ1CGJX5GFUKG42,1,2024-07-16,Houston,TX,sedan
1978,Toyota,Corolla Sedan,White,30385.73,16,19,Automatic,V8 5.3L,FWD,3,47299,AV04UMGD9PU0ZE5LJ,1,2022-06-03,Atlanta,GA,sedan
1987,Mercedes-Benz,Benz 560Sl Roadster,Gray,46508,11,15,Manual,Flat-4 1.3L,AWD,3,66238,ABBIHOYP0PIDC4ILM,1,2024-03-30,Houston,TX,"convertible,luxury"
1960,Lincoln,Mark V Convertible,White,34793.25,13,18,Automatic,V8 4.2L,RWD,2,145772,7PE45XKM2R3QTYSZ2,1,2024-07-20,Los Angeles,CA,"convertible,luxury"
1972,Ford,Mustang Mach 1,Beige,51859.43,21,22,Automatic,Flat-6 3.6L,FWD,3,51481,YOM1K8D3T3K6BJLZC,1,2022-10-01,Denver,CO,"muscle car,coupe"
1951,Dodge,Power Wagon,Red,48491.79,9,13,Manual,V8 6.0L,FWD,3,133286,20B8P9O3YVPMVD1C9,1,2024-03-31,Los Angeles,CA,"SUV / 4x4,pickup"
1950,Cadillac,Series 61 Coupe,Yellow,31763.49,13,17,Manual,V8 4.6L,AWD,2,134932,56C75Q7HVF8QY9A7V,1,2023-12-25,Houston,TX,"luxury,coupe"
1959,Pontiac,Catalina Hardtop,Red,40195.33,19,20,Automatic,Rotary 1.2L,FWD,2,25712,HWMUGIERAHIF4GDII,1,2021-09-02,Dallas,TX,"coupe,luxury"
1960,Buick,Electra 2 Door Hardtop,Brown,49243.46,12,12,Manual,V8 4.5L,FWD,2,75794,U90EFH22R6856FQ71,1,2022-06-03,Los Angeles,CA,"luxury,coupe"
1969,Volkswagen,Porsche 959 Tribute Roadster,Yellow,9581.21,12,30,Automatic,V8 6.0L,AWD,1,21404,C2E9ZJOWZQQRQQIIH,1,2024-10-23,Atlanta,GA,convertible
1996,Ford,Bronco Eddie Bauer,Black,44144.19,22,28,Automatic,V6 3.8L,RWD,1,16013,L7IUSHIPT90XOQAIH,1,2021-07-26,Houston,TX,SUV / 4x4
1969,Volkswagen,Kelmark Gt,Green,55594.59,18,22,Automatic,V8 5.5L,FWD,3,88043,W2YSIUYVGTHVXB5Y2,1,2023-04-24,San Diego,CA,"coupe,muscle car"
1975,Buick,Electra 225 Limited 2 Door Hardtop,Yellow,9969.38,15,16,Manual,Flat-6 2.2L,AWD,3,84985,52WGE4YD2DZBT9RFI,1,2022-08-08,Atlanta,GA,"luxury,coupe"
1963,Jeep,Willys Station Wagon,Yellow,15352.3,10,28,Automatic,Flat-4 1.6L,RWD,1,75315,2E343750V3KIKUO33,1,2024-11-09,Houston,TX,station wagon
1964,Volkswagen,Karmann Ghia Coupe,Beige,28922.12,17,21,Manual,Inline-6 3.5L,FWD,3,31029,GLQSBHUGZINT2OMM9,1,2022-05-02,New Orleans,LA,coupe
1970,Pontiac,Gto Hardtop,White,18983.68,11,20,Manual,Flat-4 1.3L,AWD,1,112081,A3XLO6QX1IM1A8CM5,1,2023-02-20,Birmingham,AL,muscle car
1960,Lincoln,Mark V Convertible,White,30569.74,13,20,Manual,V8 4.2L,RWD,3,98850,8043HL7ZZ4V7GDURT,1,2021-12-06,Houston,TX,"convertible,luxury"
1957,Mercedes-Benz,Benz 180D Sedan,Blue,43501.82,12,22,Automatic,V6 4.2L,RWD,3,106990,RXN4OP2598LY23KJB,1,2022-06-30,Los Angeles,CA,"sedan,luxury"
1951,Dodge,Meadowbrook 4 Door Sedan,Beige,28543.06,21,22,Automatic,V8 7.0L,AWD,1,91880,GC22C391B440GYNHZ,1,2024-03-09,Houston,TX,sedan
1967,Pontiac,Firebird Convertible,Gray,26523.11,11,23,Automatic,Inline-6 2.8L,AWD,2,32292,EZ5VGWS5G0NGJGC09,1,2021-07-18,Dallas,TX,"convertible,muscle car"
1972,Buick,Centurion Convertible,Red,3000,15,27,Manual,V12 5.3L,AWD,3,65122,0P196QQ1C3BSMIT3Y,1,2024-09-25,Denver,CO,"convertible,luxury"
1922,Lincoln,Model 117 Brunn Sedan,Blue,62962.81,13,17,Manual,Flat-4 2.0L,AWD,3,18555,S4630Q58QX2QAENUE,1,2021-08-04,Houston,TX,"luxury,sedan"
1983,Jeep,Cj7,Blue,3000,11,17,Manual,Inline-4 1.6L,RWD,3,23110,HTRDSYC5XUJIM3J86,1,2021-09-25,Chicago,IL,SUV / 4x4
1967,Ford,Thunderbird Landau Hardtop,Brown,3000,22,28,Manual,Flat-6 2.7L,RWD,2,37272,WUREPE3CCHQWJ1QJG,1,2025-02-15,Houston,TX,"luxury,coupe"
1955,Pontiac,Star Chief Convertible,Black,9257.4,16,17,Manual,V8 4.5L,AWD,1,42318,0QVAF3SPISM88RX0X,1,2022-06-30,Los Angeles,CA,convertible
1971,Dodge,Challenger R T,Yellow,44110.7,13,21,Automatic,V8 4.2L,RWD,3,101935,K7B8WP4EJAXCWI4L5,0,2022-10-07,Chicago,IL,"muscle car,coupe"
1978,Chevrolet,Monza Station Wagon,Beige,37731.93,12,21,Automatic,V8 4.0L,AWD,3,89712,JPIB5XSYD705NI58H,1,2022-01-15,Miami,FL,station wagon
1948,Cadillac,Series 62 Coupe,Beige,45054.35,11,28,Automatic,V12 5.3L,RWD,2,138386,DF7LMNUTNKOFVVA9C,1,2024-06-24,Dallas,TX,"luxury,coupe"
1951,Lincoln,Lido Hardtop,Green,52321.21,12,24,Automatic,V6 3.8L,AWD,2,42119,573SKDITXNEKE086L,1,2023-05-21,Phoenix,AZ,"luxury,coupe"
1972,Oldsmobile,Toronado,Brown,5117.72,17,17,Automatic,V12 5.3L,AWD,3,64919,ORGPAEU8U2U4J5SFG,0,2023-06-18,Phoenix,AZ,luxury
1953,Buick,Super 50 Series Riviera 4 Door Sedan,Yellow,3159.01,9,26,Automatic,V8 5.7L,AWD,1,144395,J9ZUZYLQKW63WDOAQ,1,2025-01-09,Denver,CO,"luxury,sedan"
1972,Oldsmobile,Toronado,White,30598.08,8,28,Manual,V12 5.3L,AWD,2,99296,J4NGMSPJTPW6KRTCQ,1,2023-01-24,Phoenix,AZ,luxury
1951,Chevrolet,Sedan Delivery,Black,58690.56,10,18,Automatic,Inline-4 2.2L,AWD,3,13528,CQ8ODU8JZVBV5ZB83,1,2023-05-17,Miami,FL,van
1957,Oldsmobile,Super 88 Convertible,Green,36185.61,12,25,Automatic,Rotary 1.1L,RWD,1,94717,DNH5RP390SPI5RFDH,1,2023-04-07,Phoenix,AZ,convertible
1967,Ford,Thunderbird Landau Hardtop,Red,51747.69,21,22,Manual,Flat-6 2.7L,FWD,1,6462,2UZLYBUYGBU5UW7OU,1,2022-05-27,Atlanta,GA,"luxury,coupe"
1964,Volkswagen,Karmann Ghia Coupe,White,23614.84,16,17,Manual,Inline-6 3.5L,RWD,2,78073,GGOH38KZT0Y8AYXBD,1,2021-05-13,Seattle,WA,coupe
1981,Nissan,280Zx,Green,20161.72,15,22,Manual,V8 4.5L,AWD,1,26237,VWKCZWMT2YVDKDVU8,1,2021-08-21,New Orleans,LA,coupe
1957,Chevrolet,210 2 Door Sedan,Red,41673.47,12,28,Automatic,V6 3.0L,RWD,2,38300,51FYQ921EQYFQFZCE,1,2025-01-10,Atlanta,GA,sedan
1984,Cadillac,Fleetwood Brougham D Elegance,Beige,31791.23,15,21,Manual,Flat-6 2.0L,FWD,1,128765,QFQULYXCTUDAV9LJ6,0,2023-04-30,Chicago,IL,"luxury,sedan"
1975,Mercedes-Benz,Benz 300D Sedan,Beige,18707.94,20,20,Automatic,Inline-4 1.6L,FWD,2,119296,VFIAH5Z99YDDH69XO,0,2024-10-26,Atlanta,GA,"sedan,luxury"
1922,Lincoln,Model 117 Brunn Sedan,Black,19993.95,10,15,Automatic,Flat-4 2.0L,AWD,2,74875,9IFJAPFETGKN7WO6O,1,2024-07-29,Phoenix,AZ,"luxury,sedan"
1990,Toyota,Supra Coupe,Red,32995.34,8,26,Automatic,V8 6.2L,RWD,3,36049,HXTDMOEW5VGQYHNEB,1,2022-10-30,Chicago,IL,coupe
1948,Willys,Jeepster,Blue,16784.45,13,23,Manual,Rotary 1.1L,AWD,3,42219,NAXZ7P3GEVJDU1CC7,1,2022-03-14,Seattle,WA,SUV / 4x4
1979,Dodge,D150 Lil Red Express Pickup,Green,19385.45,15,24,Manual,Flat-4 2.0L,FWD,1,74616,CDAQJHKS7R3L9Y1AJ,1,2023-10-21,Seattle,WA,pickup
1982,Pontiac,Firebird Trans Am Tribute,Gray,25653.99,13,27,Manual,Inline-4 1.6L,RWD,3,79166,J5E4O9TBV7UBJBWZL,1,2023-03-05,New Orleans,LA,muscle car
1969,Dodge,Charger Hardtop,Brown,25081.91,17,25,Automatic,V8 7.5L,AWD,3,122555,5N8J3IDG7SUDECEIQ,1,2024-08-08,Seattle,WA,"muscle car,coupe"
1978,Toyota,Corolla Sedan,Red,37890.62,15,20,Manual,V8 5.3L,RWD,3,147226,H4TEAU23XZRP5JKUT,1,2024-01-31,Los Angeles,CA,sedan
1992,Mazda,Miata Mx 5,Brown,25961.94,13,29,Automatic,Flat-4 1.6L,AWD,3,123111,JLRYN6RTJNEPWXVRC,1,2025-03-17,Charlotte,NC,convertible
1960,Mercedes-Benz,Benz 190Sl Roadster,Yellow,12766.56,20,26,Manual,V6 4.2L,RWD,3,23207,5IROUXZU8PYY5PHX4,1,2024-01-02,Houston,TX,"convertible,luxury"
1964,Volkswagen,Karmann Ghia Coupe,Green,21128.09,14,15,Manual,Inline-6 3.5L,AWD,1,148859,63LYCZJH88ZQQEXJ2,1,2023-11-08,Atlanta,GA,coupe
1962,Dodge,Polara 500 Hardtop,Blue,24518.72,20,28,Automatic,Flat-6 3.6L,AWD,1,141493,GC7TVPKF6903EGF2F,1,2021-06-05,Seattle,WA,"coupe,sedan"
1967,Ford,Thunderbird Landau Hardtop,Blue,14562.49,12,17,Manual,Flat-6 2.7L,RWD,3,27244,VZD05PLEWURZBJU7L,1,2022-09-11,Austin,TX,"luxury,coupe"
1970,Mercedes-Benz,Benz 280Se Sedan,White,26369.32,9,23,Manual,V6 4.0L,RWD,3,12354,5E5QOU8LJER7OMJZU,1,2023-11-26,Atlanta,GA,"sedan,luxury"
1962,Dodge,Polara 500 Hardtop,Gray,61216.41,21,28,Manual,Flat-6 3.6L,AWD,1,24672,073TWCH5HPQ4Y73A9,1,2022-12-20,New Orleans,LA,"coupe,sedan"
1978,Toyota,Corolla Sedan,Black,46544.54,16,18,Manual,V8 5.3L,RWD,2,148682,4CGIYQ25ZZ8ZRVKGV,1,2025-01-27,Seattle,WA,sedan
1971,Volkswagen,Sand Rover T Pickup Dune Buggy,Beige,26955.8,20,23,Automatic,V12 5.0L,AWD,3,102426,LEH8IK65JSR0CUAEH,1,2021-04-14,Bozeman,MT,pickup
1960,Buick,Electra 2 Door Hardtop,Beige,30052.03,20,20,Automatic,V8 4.5L,RWD,3,58181,A52EY92L6UB52ND1B,1,2021-06-22,New Orleans,LA,"luxury,coupe"
1957,Mercedes-Benz,Benz 180D Sedan,Gray,42518.31,16,22,Manual,V6 4.2L,AWD,2,93532,MWFULY9STVP8ENIDR,1,2024-04-08,Denver,CO,"sedan,luxury"
1975,Volkswagen,Camper,Brown,3000,10,24,Automatic,Flat-4 1.2L,FWD,3,19328,SRJ6KPZVWUUOA5F20,0,2025-02-05,Denver,CO,van
